MMSI:367405670  Longitude:-74.0021  Latitude:40.7062  Altitude:0  0C5798A999410006AD3EBC974AD415C5FF8401A75040BA  02-Oct-2016 11:59:03
MMSI:367017010  Longitude:-74.0032  Latitude:40.6964  Altitude:0  045780F0C8200446AD3D8E974962A0E0FF8A0008BD3D78  02-Oct-2016 11:59:09
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31949749F8C064B1160008BD59BE  02-Oct-2016 11:59:12
MMSI:367017010  Longitude:-74.003  Latitude:40.6966  Altitude:0  045780F0C8200456AD3DB217496B90D9FF9A00090CBD9B  02-Oct-2016 11:59:18
MMSI:367586920  Longitude:-74.005  Latitude:40.6961  Altitude:0  0457A3B9A3000646AD3B5597495718186692024AC01AFE  02-Oct-2016 11:59:21
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31951749F88064B1260102DB5663  02-Oct-2016 11:59:21
MMSI:367017010  Longitude:-74.0029  Latitude:40.697  Altitude:0  045780F0C8200456AD3DE617497900D6FFB20103DDC12D  02-Oct-2016 11:59:29
MMSI:367586920  Longitude:-74.0053  Latitude:40.6957  Altitude:0  0457A3B9A3000646AD3B09974949181866240341012788  02-Oct-2016 11:59:29
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31961749F85064B13C0140FA6533  02-Oct-2016 11:59:33
MMSI:367017010  Longitude:-74.0027  Latitude:40.6973  Altitude:0  045780F0C8200446AD3E0B97498320BBFFC40008BC75BD  02-Oct-2016 11:59:38
MMSI:367586920  Longitude:-74.0056  Latitude:40.6953  Altitude:0  0457A3B9A3000646AD3AAA1749383817663A0208A0A864  02-Oct-2016 11:59:41
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31971749F85064B1D001C0FA86C9  02-Oct-2016 11:59:42
MMSI:367017010  Longitude:-74.0026  Latitude:40.6976  Altitude:0  045780F0C8200446AD3E3A97498F50CEFFDA014033E543  02-Oct-2016 11:59:50
MMSI:367586920  Longitude:-74.0059  Latitude:40.6949  Altitude:0  0457A3B9A3000646AD3A60974929E81765CC0340FFA8F9  02-Oct-2016 11:59:51
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31979749F85064B1E40008BADC49  02-Oct-2016 11:59:52
MMSI:367586920  Longitude:-74.0061  Latitude:40.6945  Altitude:0  0457A3B9A3000646AD3A10974919F80F656003089CF970  02-Oct-2016 12:00:00
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31981749F84064B1F6005EECEC08  02-Oct-2016 12:00:01
MMSI:367017010  Longitude:-74.0023  Latitude:40.6981  Altitude:0  045780F0C8200446AD3E8B9749A440CBFF8801C0367390  02-Oct-2016 12:00:09
MMSI:367586920  Longitude:-74.0064  Latitude:40.694  Altitude:0  0457A3B9A3000636AD39C317490A180164F40340FFC031  02-Oct-2016 12:00:10
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31981749F85064B194018193E810  02-Oct-2016 12:00:12
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31981749F86064B1A600C0FA8348  02-Oct-2016 12:00:20
MMSI:367586920  Longitude:-74.0067  Latitude:40.6936  Altitude:0  0457A3B9A3000636AD39721748F917F8649202089B3138  02-Oct-2016 12:00:21
MMSI:367017010  Longitude:-74.002  Latitude:40.6988  Altitude:0  045780F0C8200436AD3EE29749BB90DBFFB200C03B0D2B  02-Oct-2016 12:00:28
MMSI:367586920  Longitude:-74.0069  Latitude:40.6932  Altitude:0  0457A3B9A3000636AD39331748EB87F26424030427F54C  02-Oct-2016 12:00:29
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31979749F88064B1BC0104882D6C  02-Oct-2016 12:00:32
MMSI:367017010  Longitude:-74.0019  Latitude:40.699  Altitude:0  045780F0C8200426AD3F091749C590C8FFC401052DEB59  02-Oct-2016 12:00:37
MMSI:367586920  Longitude:-74.0071  Latitude:40.6928  Altitude:0  0457A3B9A3000636AD38EE1748DCC7EE643803059C44D3  02-Oct-2016 12:00:40
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31979749F8A064B1D00185EDC1A0  02-Oct-2016 12:00:42
MMSI:367017010  Longitude:-74.0017  Latitude:40.6993  Altitude:0  045780F0C8200426AD3F391749D190DFFFDA0106DBD10C  02-Oct-2016 12:00:49
MMSI:367586920  Longitude:-74.0073  Latitude:40.6924  Altitude:0  0457A3B9A3000636AD38A71748CC27EB644C03072D0625  02-Oct-2016 12:00:50
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31971749F8A064B1E40187517E70  02-Oct-2016 12:00:51
MMSI:367017010  Longitude:-74.0016  Latitude:40.6996  Altitude:0  045780F0C8200426AD3F691749DC10F8FFEE0008D0E155  02-Oct-2016 12:00:59
MMSI:367586920  Longitude:-74.0076  Latitude:40.6919  Altitude:0  0457A3B9A3000636AD385E1748BBF7E6646002C0FF10E5  02-Oct-2016 12:01:00
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31971749F8B064B1F60008EEC427  02-Oct-2016 12:01:01
MMSI:367017010  Longitude:-74.0014  Latitude:40.6999  Altitude:0  045780F0C8200426AD3F971749E560FCFF880180E69D0E  02-Oct-2016 12:01:08
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31969749F8C064B1960140FB5DCD  02-Oct-2016 12:01:12
